pid,Name,Pos,Team,Opp,Score,WL,Season,Playoffs,Min,ChK,ChD,ChA,ChKDA,ChSC,TwrD,TwrA,TwrSC,InhibD,InhibA,CS,CSOpp,CS20,CSOpp20,Jgl,Rvr,DrK,DrA,BrnK,BrnA,G(k)
14969,Reese 'randro_b' Wright,MID,PRD,EEC,0-1,L,2048,false,36.8311538261926,1,4,4,,,1,1,0,0,0,296,292,171,132,5,0,0,0,0,0,13.024580314761806
14924,Zhou 'dumbo155' Tao,ADC,PRD,EEC,0-1,L,2048,false,36.8311538261926,1,5,3,,,1,0,0,0,0,296,371,170,177,4,1,1,1,0,0,12.942103236539287
14881,Michel 'Juniozao' De Souza,SUP,PRD,EEC,0-1,L,2048,false,36.8311538261926,0,4,5,,,0,2,0,0,0,56,102,37,36,0,0,0,0,0,0,7.547130094483556
14391,Max 'LFBorbon' Fan,MID,PRD,EEC,0-1,L,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14837,Jinhong 'ZoinksXD' Lee,ADC,PRD,EEC,0-1,L,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14997,Gao 'Oompagus' Peng,MID,PRD,EEC,0-1,L,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12133,Dongwon 'davegold' Choi,TOP,EEC,PRD,1-0,W,2048,false,36.8311538261926,8,4,10,,,2,7,0,0,1,250,250,117,144,8,3,0,3,0,1,15.274786982465166
13804,Tang 'Tiberyan' Yuchen,JGL,EEC,PRD,1-0,W,2048,false,36.8311538261926,3,1,8,,,0,3,0,0,1,237,148,86,50,112,10,1,1,1,1,15.583410827700838
14714,Wang 'Robyyb79' Wang,MID,EEC,PRD,1-0,W,2048,false,36.8311538261926,4,3,11,,,3,4,0,1,1,292,296,132,171,9,4,0,3,0,0,15.237889724412355
14002,Chulsoon 'ghostkot' Han,ADC,EEC,PRD,1-0,W,2048,false,36.8311538261926,6,0,11,,,2,4,0,0,1,371,296,177,170,7,2,2,3,0,0,17.809746245192443
15491,Zhou 'Revenant' Qi,SUP,EEC,PRD,1-0,W,2048,false,36.8311538261926,0,1,18,,,0,6,0,0,1,102,56,36,37,0,0,0,3,0,1,10.274289306793836
12481,Lin 'DaxReece' Tang,TOP,SYG,IG,0-1,L,2048,false,31.192649346379927,3,4,0,,,1,1,-1,0,0,186,229,121,134,3,1,0,0,0,0,10.1444557513463
15188,Zou 'zorrlost' Shang,JGL,SYG,IG,0-1,L,2048,false,31.192649346379927,1,2,2,,,0,1,0,0,0,130,175,52,70,70,2,0,0,0,0,9.737833768270272
13090,K.J. 'Flamus78' Watanabe,MID,SYG,IG,0-1,L,2048,false,31.192649346379927,0,1,1,,,1,3,0,0,0,255,288,155,175,4,0,0,0,0,0,10.926730521855818
14361,Duo 'Raven131' Hu,ADC,SYG,IG,0-1,L,2048,false,31.192649346379927,0,3,1,,,2,1,0,0,0,246,343,154,214,5,1,0,0,0,0,10.75116288560938
14862,Tyreak 'XJaysonX' Rice,SUP,SYG,IG,0-1,L,2048,false,31.192649346379927,1,3,1,,,0,2,0,0,0,51,73,24,48,0,0,0,0,0,0,6.743669799045517
15469,Taruike 'Destr0ya' Yue,ADC,SYG,IG,0-1,L,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14490,Zhu 'l0ltr0ll' Yue,TOP,IG,SYG,1-0,W,2048,false,31.192649346379927,7,1,2,,,3,5,0,0,1,229,186,134,121,11,7,0,2,0,1,13.635045817583347
12432,Seungmin 'Grenvell' Kim,JGL,IG,SYG,1-0,W,2048,false,31.192649346379927,3,1,7,,,0,6,0,0,1,175,130,70,52,92,14,2,2,0,0,12.993754897840935
14321,Kangyun 'rodandu5' Han,MID,IG,SYG,1-0,W,2048,false,31.192649346379927,1,0,7,,,3,9,0,1,1,288,255,175,155,9,2,1,2,0,1,13.660251930602398
14511,Cass 'patpat44' Maia,ADC,IG,SYG,1-0,W,2048,false,31.192649346379927,2,1,6,,,3,7,1,0,1,343,246,214,154,7,5,0,1,1,1,14.959518986328654
13293,Taruike 'gmuffinz' Delong,SUP,IG,SYG,1-0,W,2048,false,31.192649346379927,0,2,10,,,0,8,0,0,1,73,51,48,24,0,0,0,3,0,1,8.615281885884958
13527,Aaron 'ZayikPvP' Jawai,ADC,IG,SYG,1-0,W,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14297,Duo 'marguera' Fu,ADC,IG,SYG,1-0,W,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13642,Joe 'b4bjlov3' Morris,MID,IG,SYG,1-0,W,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12608,Hojung 'Gouveiia' Jo,TOP,CH,RAGE,0-1,L,2048,false,34.6405801143291,2,2,0,,,1,1,0,0,0,245,234,144,121,11,2,0,0,0,0,11.394338515211965
14394,Han 'sherlong' Zhengdong,JGL,CH,RAGE,0-1,L,2048,false,34.6405801143291,0,5,0,,,0,2,0,0,0,102,322,46,84,49,2,0,0,0,0,8.502000000000017
14672,Yanhao 'Mystugan' Ming,MID,CH,RAGE,0-1,L,2048,false,34.6405801143291,0,6,0,,,1,0,0,0,0,237,349,168,178,5,2,0,0,0,0,10.67999999999996
14376,Baris 'Neivas10' Kilicli,ADC,CH,RAGE,0-1,L,2048,false,34.6405801143291,1,4,0,,,0,0,0,0,0,283,355,178,164,7,0,0,0,0,0,11.966619055246227
14755,Zhizhi 'Jamal123' Zhengdong,SUP,CH,RAGE,0-1,L,2048,false,34.6405801143291,0,5,0,,,0,0,0,0,0,23,118,18,30,0,0,0,0,0,0,5.882000000000019
14716,Wooyoung 'ZARAKIn1' Kim,TOP,CH,RAGE,0-1,L,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14958,Ted 'Logernus' Meschery,TOP,CH,RAGE,0-1,L,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14610,Xue 'denaltin' Yuchen,TOP,RAGE,CH,1-0,W,2048,false,34.6405801143291,6,2,9,,,3,7,0,0,1,234,245,121,144,0,0,0,2,0,1,14.233205153624214
14049,Haiyun 'Arabelle' Fan,JGL,RAGE,CH,1-0,W,2048,false,34.6405801143291,6,0,11,,,0,7,0,0,1,322,102,84,46,174,42,3,3,1,1,19.23051517667159
13753,Davis 'Kamataro' Taylor,MID,RAGE,CH,1-0,W,2048,false,34.6405801143291,3,0,14,,,3,6,0,1,1,349,237,178,168,9,5,0,3,0,1,16.283100865110352
14323,Nate '7Bartek7' Ross,ADC,RAGE,CH,1-0,W,2048,false,34.6405801143291,6,1,8,,,2,6,0,0,1,355,283,164,178,5,1,0,2,0,1,16.729109659080503
13157,Ailun 'ooNEARoo' Zhelin,SUP,RAGE,CH,1-0,W,2048,false,34.6405801143291,1,0,17,,,0,6,0,0,1,118,23,30,18,0,0,0,2,0,1,10.698487913737198
12591,Dwight 'tysonius' Delong,TOP,PND,RDM,1-0,W,2048,false,32.061146507887514,9,0,5,,,4,7,0,0,1,277,177,157,110,12,6,0,1,0,1,15.29078423265594
12531,Taruike 'tanman25' Yuyang,JGL,PND,RDM,1-0,W,2048,false,32.061146507887514,2,0,7,,,0,7,0,0,1,236,105,90,50,129,22,0,0,1,1,14.992102697825002
14725,Taehwan 'MoNo2122' Kim,MID,PND,RDM,1-0,W,2048,false,32.061146507887514,8,0,5,,,2,7,0,0,1,322,204,187,129,10,5,1,1,0,1,16.073933190524446
14659,Caleb 'Exiri' Estacio,ADC,PND,RDM,1-0,W,2048,false,32.061146507887514,0,1,7,,,4,4,0,1,1,311,274,171,190,7,1,0,0,0,0,13.852127032521219
13800,Ji 'Masstube' Zhao,SUP,PND,RDM,1-0,W,2048,false,32.061146507887514,0,0,14,,,0,8,0,0,1,89,29,39,23,0,0,0,1,0,0,9.351019778765323
13806,Niels 'aragorn1' Kok,SUP,PND,RDM,1-0,W,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14226,Jeosung 'shadow3r' Lim,TOP,RDM,PND,0-1,L,2048,false,32.061146507887514,0,4,0,,,1,2,0,0,0,177,277,110,157,2,0,0,1,0,0,9.22400000000001
12994,Tang 'LuLuLiLa' Peng,JGL,RDM,PND,0-1,L,2048,false,32.061146507887514,0,4,0,,,0,2,0,0,0,105,236,50,90,58,6,0,0,0,0,8.64800000000001
15378,Emmanuel 'DaKiller' Parker,MID,RDM,PND,0-1,L,2048,false,32.061146507887514,0,5,0,,,1,3,0,0,0,204,322,129,187,3,1,1,1,0,0,9.835999999999995
13249,Ziming 'Yukiyuri' Shang,ADC,RDM,PND,0-1,L,2048,false,32.061146507887514,1,2,0,,,1,2,0,0,0,274,311,190,171,8,2,0,0,0,0,11.601646920251312
13840,Xu 'hatazhix' Ming,SUP,RDM,PND,0-1,L,2048,false,32.061146507887514,0,4,1,,,0,3,0,0,0,29,89,23,39,0,0,0,1,0,0,5.977215640083799
15260,Kieron 'Theox963' Allison,TOP,DP,TUN,0-1,L,2048,false,37.388539705788965,2,3,1,,,1,4,0,0,0,227,299,133,140,0,0,0,0,0,0,11.819469875751833
14702,Sanghyeon 'Litn1337' Lee,JGL,DP,TUN,0-1,L,2048,false,37.388539705788965,0,6,1,,,0,1,0,0,0,128,325,55,76,68,8,1,1,0,0,10.274307844488717
14088,Taehee 'Hirukage' Kim,MID,DP,TUN,0-1,L,2048,false,37.388539705788965,2,4,2,,,2,2,0,0,0,286,329,172,153,3,0,0,1,0,0,13.0333303339742
12166,Sanghoon 'xRobGp7x' Moon,ADC,DP,TUN,0-1,L,2048,false,37.388539705788965,2,3,1,,,1,1,1,0,0,335,354,193,158,11,4,0,1,0,0,14.228398109733273
13330,Sungjin 'fran4025' Park,SUP,DP,TUN,0-1,L,2048,false,37.388539705788965,0,5,6,,,0,4,0,0,0,63,120,14,38,2,0,0,1,0,0,7.992585918002193
13705,Kwangsuk 'iamZHV' Kim,TOP,TUN,DP,1-0,W,2048,false,37.388539705788965,5,0,13,,,2,6,-1,0,1,299,227,140,133,9,3,0,1,0,1,16.029768849996806
12895,Thuáan 'tinkeras' Trần,JGL,TUN,DP,1-0,W,2048,false,37.388539705788965,6,0,14,,,0,5,0,0,1,325,128,76,55,163,42,2,2,1,1,19.871028336685004
15455,Jinsung 'V0YAFLEX' Jang,MID,TUN,DP,1-0,W,2048,false,37.388539705788965,8,3,7,,,3,6,0,1,1,329,286,153,172,8,0,0,2,0,1,17.623616784241293
13191,Youngjun 'furihata' Kim,ADC,TUN,DP,1-0,W,2048,false,37.388539705788965,2,1,13,,,2,6,0,0,1,354,335,158,193,6,1,1,2,0,1,16.398382598610013
13645,Joaquin 'patpat44' González,SUP,TUN,DP,1-0,W,2048,false,37.388539705788965,0,2,17,,,0,7,0,0,1,120,63,38,14,0,0,0,3,0,1,10.709377726145652
15028,Sydmill 'Dropixal' Jansen,TOP,LSG,MMR,1-0,W,2048,false,44.17978156075146,7,4,7,,,3,6,0,0,1,289,319,128,134,5,0,0,2,0,1,17.38211727826259
13402,Francisco 'adhdnoy1' Cvjetkovic,JGL,LSG,MMR,1-0,W,2048,false,44.17978156075146,2,4,9,,,0,5,0,0,1,193,272,70,50,100,19,1,1,1,1,15.326337989595439
14368,Hatila 'Harkle99' Cipolini,MID,LSG,MMR,1-0,W,2048,false,44.17978156075146,4,5,8,,,3,7,0,1,1,370,400,151,190,8,2,0,2,0,1,18.287566350593494
14931,Maxime 'obrinj63' Fofang,ADC,LSG,MMR,1-0,W,2048,false,44.17978156075146,4,1,9,,,2,6,0,0,1,448,390,211,173,9,3,1,2,0,1,19.94311732555533
14955,Tom '0_Nefi_0' Larsson,SUP,LSG,MMR,1-0,W,2048,false,44.17978156075146,0,3,15,,,0,6,0,0,1,144,102,34,24,0,0,0,2,0,1,12.322828745498217
14172,Seokjun 'tuzuyezo' Hwang,MID,LSG,MMR,1-0,W,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15393,Thiago 'jeanray1' Rodríguez,TOP,MMR,LSG,0-1,L,2048,false,44.17978156075146,4,3,6,,,2,5,0,0,1,319,289,134,128,13,1,0,1,0,1,16.825476690909696
11975,Wojciech 'gilateur' Witlinski,JGL,MMR,LSG,0-1,L,2048,false,44.17978156075146,7,2,6,,,0,5,0,0,1,272,193,50,70,137,19,2,2,1,1,19.156263614033453
14480,Henrik 'rozle001' Moeller,MID,MMR,LSG,0-1,L,2048,false,44.17978156075146,5,3,10,,,3,4,0,1,1,400,370,190,151,8,3,0,3,0,1,19.144874411880565
13054,Hyunjong '0_Nefi_0' Lee,SUP,MMR,LSG,0-1,L,2048,false,44.17978156075146,1,3,10,,,2,2,0,0,1,390,448,173,211,8,1,1,3,0,1,17.831816960158466
15404,Calix 'pullrock' Skouen,SUP,MMR,LSG,0-1,L,2048,false,44.17978156075146,0,6,11,,,0,4,0,0,1,102,144,24,34,0,0,0,3,0,1,11.036994189088256
12431,Yuta 'svajunas' Okayama,TOP,CNT,OBL,1-0,W,2048,false,39.62625780626965,8,3,9,,,2,6,0,0,1,276,257,128,129,11,1,0,1,0,1,16.615339784390816
14450,Hyunseung 'Slizyeah' Lee,JGL,CNT,OBL,1-0,W,2048,false,39.62625780626965,6,2,10,,,0,6,0,0,1,168,236,43,74,77,1,0,0,1,1,14.99867260951118
15484,Gao 'Volpatti' Ming,MID,CNT,OBL,1-0,W,2048,false,39.62625780626965,1,1,15,,,3,6,0,1,1,344,322,175,171,7,0,1,1,0,1,16.222261383804558
13734,Giovanni 'EmperorV' Pastori,ADC,CNT,OBL,1-0,W,2048,false,39.62625780626965,4,3,12,,,3,5,0,0,1,342,332,183,164,4,1,0,0,0,1,16.638725556362814
14282,Marcin 'Syntex28' Karnowski,SUP,CNT,OBL,1-0,W,2048,false,39.62625780626965,0,5,18,,,0,7,-1,0,1,122,117,21,78,1,0,0,1,0,1,10.98966871540172
14063,Gabor 'Hoplahop' David,TOP,OBL,CNT,0-1,L,2048,false,39.62625780626965,2,4,6,,,2,3,0,0,0,257,276,129,128,11,3,0,2,0,0,13.981752234229225
13531,Ailun 'AzuraAce' Fangyu,JGL,OBL,CNT,0-1,L,2048,false,39.62625780626965,3,2,4,,,0,4,1,0,0,236,168,74,43,137,38,1,1,1,1,15.632898817127895
15004,Hao 'ButtCake' Fan,MID,OBL,CNT,0-1,L,2048,false,39.62625780626965,4,3,2,,,2,4,0,0,0,322,344,171,175,7,2,2,3,0,1,15.69027740923644
13990,Amaury 'JJ_Bluez' Obasohan,ADC,OBL,CNT,0-1,L,2048,false,39.62625780626965,5,4,4,,,1,3,0,0,0,332,342,164,183,7,1,0,1,0,0,16.262579275094442
15154,Sungmin 'GalaxyHK' Shim,SUP,OBL,CNT,0-1,L,2048,false,39.62625780626965,0,6,10,,,0,3,0,0,0,117,122,78,21,0,0,0,3,0,0,10.469706358690697
13716,Matt 'Aidenx2o' Fangyu,TOP,PLG,GG,0-1,L,2048,false,39.47658816704287,2,3,2,,,1,5,0,0,0,262,301,125,151,5,2,0,2,0,1,13.626717457670773
15094,Gerben 'LonyTony' Moors,JGL,PLG,GG,0-1,L,2048,false,39.47658816704287,4,5,1,,,0,4,0,0,0,173,282,46,91,88,8,1,1,1,1,13.756944105394966
13614,Romain 'niko9522' Mussard,MID,PLG,GG,0-1,L,2048,false,39.47658816704287,1,4,5,,,2,1,0,0,0,341,331,185,137,13,5,0,2,0,1,15.25610748991265
14217,K.J. 'Porygon2' Smith,ADC,PLG,GG,0-1,L,2048,false,39.47658816704287,3,3,1,,,2,1,0,0,0,350,347,168,176,7,2,1,2,0,1,15.678724634724135
12061,Terrence 'LordTyco' Zhelin,SUP,PLG,GG,0-1,L,2048,false,39.47658816704287,0,4,4,,,0,5,-1,0,0,56,107,41,22,0,0,0,2,0,1,8.452385603734063
14460,Noah 'LeoFANOG' Mushidi,TOP,GG,PLG,1-0,W,2048,false,39.47658816704287,3,2,11,,,2,5,0,0,1,301,262,151,125,7,1,0,2,0,0,15.762960088175836
14868,Justin 'iTzsaizu' Haymond,JGL,GG,PLG,1-0,W,2048,false,39.47658816704287,4,2,8,,,0,4,0,0,1,282,173,91,46,144,16,0,0,1,1,18.067185599584256
15136,Joost 'Gilictic' DeFares,MID,GG,PLG,1-0,W,2048,false,39.47658816704287,9,3,6,,,2,4,0,0,1,331,341,137,185,7,0,1,2,0,1,18.247260195298306
11945,Ziming 'Cedricqm' Zhengdong,ADC,GG,PLG,1-0,W,2048,false,39.47658816704287,2,2,10,,,4,6,1,1,1,347,350,176,168,5,1,1,1,0,1,16.2994179195613
13935,Jamel 'NekoMoep' Tabuse,SUP,GG,PLG,1-0,W,2048,false,39.47658816704287,1,1,14,,,0,6,0,0,1,107,56,22,41,0,0,0,2,0,1,10.930322659333928
13803,Hao 'Woodarth' Zhengdong,TOP,HGE,RIS,1-0,W,2048,false,31.198965797131546,5,0,5,,,3,5,0,0,1,276,198,156,124,8,4,0,1,0,2,15.07818767120843
13881,Seuingmin 'Asparctu' Park,JGL,HGE,RIS,1-0,W,2048,false,31.198965797131546,1,1,12,,,0,6,1,0,1,270,93,76,55,142,45,1,1,2,2,16.42332553077497
8903,Chris 'vJustin_' Danielson,MID,HGE,RIS,1-0,W,2048,false,31.198965797131546,3,0,7,,,3,7,0,1,0,317,262,173,171,17,7,0,2,0,1,15.305771983839776
15220,Minwoo 'lazomazo' Kang,ADC,HGE,RIS,1-0,W,2048,false,31.198965797131546,10,0,2,,,3,4,0,0,0,379,227,209,164,25,18,3,4,0,1,18.269971766710352
13224,Ronnie 'erem1030' Silas,SUP,HGE,RIS,1-0,W,2048,false,31.198965797131546,0,0,16,,,0,5,0,0,1,124,33,64,18,1,0,0,4,0,2,10.712819271228419
13758,Yao 'mouse301' Wang,TOP,RIS,HGE,0-1,L,2048,false,31.198965797131546,0,2,0,,,1,2,0,0,0,198,276,124,156,6,0,0,0,0,0,9.367000000000017
15344,Dylan 'maliburo' Bell,MID,RIS,HGE,0-1,L,2048,false,31.198965797131546,1,6,0,,,0,1,0,0,0,93,270,55,76,44,2,0,0,0,0,8.003148780509878
15127,Hyukjae 'Iwwann88' Cha,ADC,RIS,HGE,0-1,L,2048,false,31.198965797131546,0,2,0,,,1,1,0,0,0,262,317,171,173,11,0,0,0,0,0,10.864999999999977
13981,Seonghwan 'Keddie22' Gu,SUP,RIS,HGE,0-1,L,2048,false,31.198965797131546,0,4,0,,,0,0,-1,0,0,227,379,164,209,1,0,0,0,0,0,9.914999999999987
14508,Kwangmin 'Woodarth' Kim,SUP,RIS,HGE,0-1,L,2048,false,31.198965797131546,0,5,0,,,0,2,0,0,0,33,124,18,64,0,0,0,0,0,0,5.629000000000018
13344,Jerry 'KKKlub55' Ming,ADC,RIS,HGE,0-1,L,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13361,Max 'babinos7' Qi,TOP,TSB,RAGE,0-1,L,2048,false,38.11645364619244,6,4,3,,,1,4,-1,0,0,248,248,136,113,4,1,0,1,0,0,13.79793927352938
14792,Duo 'Seraphos' Yue,JGL,TSB,RAGE,0-1,L,2048,false,38.11645364619244,2,1,4,,,0,4,0,0,0,234,149,62,46,113,5,2,2,0,0,14.655045037448637
14340,Jihun 'matadowx' Yoo,MID,TSB,RAGE,0-1,L,2048,false,38.11645364619244,3,8,4,,,2,2,0,0,0,260,345,137,169,9,0,0,1,0,0,13.549622968977857
15099,Ailun 'RezBlair' Zhelin,ADC,TSB,RAGE,0-1,L,2048,false,38.11645364619244,2,2,5,,,2,1,0,0,0,325,359,179,185,7,2,0,2,0,0,14.617715664776025
14309,Vishal 'odes4' Young,SUP,TSB,RAGE,0-1,L,2048,false,38.11645364619244,0,3,9,,,0,4,0,0,0,86,76,35,10,0,0,0,2,0,0,8.984875876975778
14652,Taeho 'mortexon' Kim,JGL,TSB,RAGE,0-1,L,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15098,Chris 'cermbmj3' Zhang,MID,TSB,RAGE,0-1,L,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14610,Xue 'denaltin' Yuchen,TOP,RAGE,TSB,1-0,W,2048,false,38.11645364619244,3,3,12,,,3,5,0,0,1,248,248,113,136,6,0,0,1,0,1,14.449782213588923
14049,Haiyun 'Arabelle' Fan,JGL,RAGE,TSB,1-0,W,2048,false,38.11645364619244,1,4,8,,,0,7,1,0,1,149,234,46,62,75,6,0,0,1,1,12.584522023975985
13753,Davis 'Kamataro' Taylor,MID,RAGE,TSB,1-0,W,2048,false,38.11645364619244,10,2,6,,,3,8,0,1,1,345,260,169,137,4,3,1,2,0,1,18.116756891017918
14323,Nate '7Bartek7' Ross,ADC,RAGE,TSB,1-0,W,2048,false,38.11645364619244,4,1,8,,,3,7,0,0,1,359,325,185,179,7,1,1,1,0,1,16.948870491774993
13157,Ailun 'ooNEARoo' Zhelin,SUP,RAGE,TSB,1-0,W,2048,false,38.11645364619244,0,3,16,,,0,7,0,0,1,76,86,10,35,0,0,0,2,0,1,9.944574980325905
12950,Jaehyeok 'blowdude' Kim,TOP,MCA,LIL,1-0,W,2048,false,36.70322779313261,5,1,5,,,3,7,0,0,1,250,224,123,125,7,1,0,0,0,1,14.902262036180147
14428,Ethan 'Cole6201' Ocampo,JGL,MCA,LIL,1-0,W,2048,false,36.70322779313261,6,0,7,,,0,7,0,0,1,291,136,66,62,148,16,1,1,1,1,18.862969670265613
13383,Manheung 'kokori15' Choi,MID,MCA,LIL,1-0,W,2048,false,36.70322779313261,3,4,7,,,3,5,0,1,1,304,301,158,169,7,2,2,2,0,1,15.239761509479653
14128,Jonathan 'coldears' Shortess,ADC,MCA,LIL,1-0,W,2048,false,36.70322779313261,3,3,7,,,3,5,0,0,1,315,351,165,188,8,2,0,1,0,1,15.794159581620624
14860,Jonghoon 'InfuzeG' Lee,SUP,MCA,LIL,1-0,W,2048,false,36.70322779313261,0,2,13,,,0,6,0,0,1,87,76,18,44,0,0,0,2,0,1,10.040264373220118
13393,An 'wantanin' Nguyễn,TOP,LIL,MCA,0-1,L,2048,false,36.70322779313261,3,3,4,,,1,3,0,0,0,224,250,125,123,4,3,0,1,0,1,12.073054710452142
15078,Donghoon 'Fernan18' Lee,JGL,LIL,MCA,0-1,L,2048,false,36.70322779313261,2,5,3,,,0,3,0,0,0,136,291,62,66,70,9,1,1,1,1,11.365753098071021
15086,Taeyong 'DanteDMC' Kim,MID,LIL,MCA,0-1,L,2048,false,36.70322779313261,2,4,5,,,2,2,0,0,0,301,304,169,158,7,1,0,1,0,0,13.934244285818785
13703,Gao 'lafesefe' Muhao,ADC,LIL,MCA,0-1,L,2048,false,36.70322779313261,3,2,2,,,1,2,0,0,0,351,315,188,165,9,3,0,1,0,0,15.12513412951234
14179,Minjun 'bronopol' Kang,SUP,LIL,MCA,0-1,L,2048,false,36.70322779313261,0,3,8,,,0,2,0,0,0,76,87,44,18,1,0,0,1,0,1,8.504994174947344
13581,John 'arapis13' Jianiyou,TOP,EGA,TRP,1-0,W,2048,false,37.96426066419652,9,2,1,,,2,6,-1,0,1,272,270,144,143,6,1,1,4,0,1,16.584540770015696
15290,Sungjong 'ghjkl462' Lee,JGL,EGA,TRP,1-0,W,2048,false,37.96426066419652,0,1,4,,,0,6,0,0,1,173,182,50,73,75,5,3,3,1,1,12.898562552923908
14403,Vlad 'Jimwayne' Motovilov,MID,EGA,TRP,1-0,W,2048,false,37.96426066419652,1,2,8,,,3,6,0,1,1,325,319,179,169,7,2,0,2,0,1,15.564634572263177
15178,Valentin 'Darkwing' Papadopoulos,ADC,EGA,TRP,1-0,W,2048,false,37.96426066419652,2,2,4,,,3,6,0,0,1,341,344,173,186,9,2,0,2,0,1,16.080425191680387
13939,Alex 'Dherolan' Rumph,SUP,EGA,TRP,1-0,W,2048,false,37.96426066419652,0,2,8,,,0,7,0,0,1,94,67,41,15,0,0,0,4,0,1,10.085818509683174
13180,Sungoh 'querriqe' Choi,TOP,TRP,EGA,0-1,L,2048,false,37.96426066419652,4,2,2,,,2,5,0,0,0,270,272,143,144,4,2,0,0,0,1,14.235360221421672
14543,Ungsiik 'LegoIPod' Son,JGL,TRP,EGA,0-1,L,2048,false,37.96426066419652,1,2,6,,,0,5,1,0,0,182,173,73,50,103,27,1,1,1,1,13.624778534431492
14909,Bruce 'Rengacia' Irwin,MID,TRP,EGA,0-1,L,2048,false,37.96426066419652,3,3,2,,,3,2,0,0,0,319,325,169,179,9,1,0,1,0,1,15.06491979959885
14925,Adan 'IBackupZ' Ballard,ADC,TRP,EGA,0-1,L,2048,false,37.96426066419652,1,2,4,,,2,4,0,0,0,344,341,186,173,8,1,0,0,0,0,15.296012705115546
